조사연도,조사분기,구분,업종,지수항목,지수
2024,3,현재,전체,매출액,76.04
2024,3,현재,전체,식재료,140.8
2024,3,현재,전체,고용,96.02
2024,3,현재,한식 음식점업,매출액,72.66
2024,3,현재,한식 일반음식점업,매출액,74.64
2024,3,현재,한식 면요리 전문점,매출액,75.83
2024,3,현재,한식 육류요리 전문점,매출액,66.1
2024,3,현재,한식 해산물요리 전문점,매출액,72.29
2024,3,현재,외국식 음식점업,매출액,77.77
2024,3,현재,중식 음식점업,매출액,72.46
2024,3,현재,일식 음식점업,매출액,79.97
2024,3,현재,서양식 음식점업,매출액,81.21
2024,3,현재,기타 외국식 음식점업,매출액,87.13
2024,3,현재,기관 구내식당업,매출액,97.44
2024,3,현재,출장 음식 서비스업,매출액,88.64
2024,3,현재,기타 간이 음식점업,매출액,79.26
2024,3,현재,제과점업,매출액,78.72
2024,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,87.21
2024,3,현재,치킨 음식점업,매출액,74.44
2024,3,현재,김밥 및 기타 간이 음식점업,매출액,80.45
2024,3,현재,간이음식 포장판매 전문점,매출액,75.27
2024,3,현재,주점업,매출액,70.69
2024,3,현재,일반 유흥주점업,매출액,71.98
2024,3,현재,무도 유흥주점업,매출액,62.47
2024,3,현재,생맥주 전문점,매출액,68.76
2024,3,현재,기타 주점업,매출액,70.61
2024,3,현재,비알코올음료점업,매출액,83.56
2024,3,현재,커피 전문점,매출액,85.1
2024,3,현재,기타 비알코올 음료점업,매출액,75.2
2024,3,현재,한식 음식점업,식재료,145.41
2024,3,현재,한식 일반음식점업,식재료,145.48
2024,3,현재,한식 면요리 전문점,식재료,145.65
2024,3,현재,한식 육류요리 전문점,식재료,145.28
2024,3,현재,한식 해산물요리 전문점,식재료,144.99
2024,3,현재,외국식 음식점업,식재료,141.03
2024,3,현재,중식 음식점업,식재료,143.07
2024,3,현재,일식 음식점업,식재료,141.48
2024,3,현재,서양식 음식점업,식재료,136.76
2024,3,현재,기타 외국식 음식점업,식재료,142.25
2024,3,현재,기관 구내식당업,식재료,138.72
2024,3,현재,출장 음식 서비스업,식재료,141.69
2024,3,현재,기타 간이 음식점업,식재료,137.21
2024,3,현재,제과점업,식재료,132.41
2024,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,130.59
2024,3,현재,치킨 음식점업,식재료,137.3
2024,3,현재,김밥 및 기타 간이 음식점업,식재료,143.21
2024,3,현재,간이음식 포장판매 전문점,식재료,137.11
2024,3,현재,주점업,식재료,142.63
2024,3,현재,일반 유흥주점업,식재료,141.19
2024,3,현재,무도 유흥주점업,식재료,145.31
2024,3,현재,생맥주 전문점,식재료,140.41
2024,3,현재,기타 주점업,식재료,143.45
2024,3,현재,비알코올음료점업,식재료,130.35
2024,3,현재,커피 전문점,식재료,129.84
2024,3,현재,기타 비알코올 음료점업,식재료,133.12
2024,3,현재,한식 음식점업,고용,95.83
2024,3,현재,한식 일반음식점업,고용,97.13
2024,3,현재,한식 면요리 전문점,고용,95.59
2024,3,현재,한식 육류요리 전문점,고용,92.62
2024,3,현재,한식 해산물요리 전문점,고용,94.73
2024,3,현재,외국식 음식점업,고용,94.03
2024,3,현재,중식 음식점업,고용,93.42
2024,3,현재,일식 음식점업,고용,94.53
2024,3,현재,서양식 음식점업,고용,94.03
2024,3,현재,기타 외국식 음식점업,고용,95.6
2024,3,현재,기관 구내식당업,고용,102.46
2024,3,현재,출장 음식 서비스업,고용,100.72
2024,3,현재,기타 간이 음식점업,고용,95.8
2024,3,현재,제과점업,고용,94.66
2024,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",고용,95.24
2024,3,현재,치킨 음식점업,고용,96.08
2024,3,현재,김밥 및 기타 간이 음식점업,고용,96.61
2024,3,현재,간이음식 포장판매 전문점,고용,95.09
2024,3,현재,주점업,고용,95.64
2024,3,현재,일반 유흥주점업,고용,95
2024,3,현재,무도 유흥주점업,고용,97.23
2024,3,현재,생맥주 전문점,고용,94.72
2024,3,현재,기타 주점업,고용,95.99
2024,3,현재,비알코올음료점업,고용,97.77
2024,3,현재,커피 전문점,고용,98.26
2024,3,현재,기타 비알코올 음료점업,고용,95.1
2024,2,현재,전체,매출액,75.6
2024,2,현재,전체,식재료,140.53
2024,2,현재,전체,고용,95.59
2024,2,현재,한식 음식점업,매출액,73.13
2024,2,현재,한식 일반음식점업,매출액,72.79
2024,2,현재,한식 면요리 전문점,매출액,79.65
2024,2,현재,한식 육류요리 전문점,매출액,72.24
2024,2,현재,한식 해산물요리 전문점,매출액,72.65
2024,2,현재,외국식 음식점업,매출액,74.7
2024,2,현재,중식 음식점업,매출액,70.74
2024,2,현재,일식 음식점업,매출액,71.88
2024,2,현재,서양식 음식점업,매출액,80.19
2024,2,현재,기타 외국식 음식점업,매출액,86.56
2024,2,현재,기관 구내식당업,매출액,99.11
2024,2,현재,출장 음식 서비스업,매출액,80.77
2024,2,현재,기타 간이 음식점업,매출액,76.38
2024,2,현재,제과점업,매출액,79.36
2024,2,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,80.44
2024,2,현재,치킨 음식점업,매출액,75.99
2024,2,현재,김밥 및 기타 간이 음식점업,매출액,74.01
2024,2,현재,간이음식 포장판매 전문점,매출액,71.43
2024,2,현재,주점업,매출액,70.93
2024,2,현재,일반 유흥주점업,매출액,69.3
2024,2,현재,무도 유흥주점업,매출액,62.82
2024,2,현재,생맥주 전문점,매출액,70.41
2024,2,현재,기타 주점업,매출액,71.75
2024,2,현재,비알코올음료점업,매출액,84.53
2024,2,현재,커피 전문점,매출액,86.54
2024,2,현재,기타 비알코올 음료점업,매출액,73.58
2024,2,현재,한식 음식점업,식재료,142.77
2024,2,현재,한식 일반음식점업,식재료,143.27
2024,2,현재,한식 면요리 전문점,식재료,143.91
2024,2,현재,한식 육류요리 전문점,식재료,140.78
2024,2,현재,한식 해산물요리 전문점,식재료,143.24
2024,2,현재,외국식 음식점업,식재료,141.57
2024,2,현재,중식 음식점업,식재료,142.92
2024,2,현재,일식 음식점업,식재료,142.03
2024,2,현재,서양식 음식점업,식재료,140.86
2024,2,현재,기타 외국식 음식점업,식재료,135.58
2024,2,현재,기관 구내식당업,식재료,134.58
2024,2,현재,출장 음식 서비스업,식재료,145.2
2024,2,현재,기타 간이 음식점업,식재료,138.45
2024,2,현재,제과점업,식재료,137.13
2024,2,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,136.14
2024,2,현재,치킨 음식점업,식재료,138.11
2024,2,현재,김밥 및 기타 간이 음식점업,식재료,141.33
2024,2,현재,간이음식 포장판매 전문점,식재료,135.31
2024,2,현재,주점업,식재료,142.57
2024,2,현재,일반 유흥주점업,식재료,141.88
2024,2,현재,무도 유흥주점업,식재료,141.89
2024,2,현재,생맥주 전문점,식재료,139.23
2024,2,현재,기타 주점업,식재료,143.31
2024,2,현재,비알코올음료점업,식재료,134.67
2024,2,현재,커피 전문점,식재료,134.16
2024,2,현재,기타 비알코올 음료점업,식재료,137.43
2024,2,현재,한식 음식점업,고용,95.59
2024,2,현재,한식 일반음식점업,고용,96.21
2024,2,현재,한식 면요리 전문점,고용,95.17
2024,2,현재,한식 육류요리 전문점,고용,94.27
2024,2,현재,한식 해산물요리 전문점,고용,94.76
2024,2,현재,외국식 음식점업,고용,94.67
2024,2,현재,중식 음식점업,고용,94.61
2024,2,현재,일식 음식점업,고용,94.1
2024,2,현재,서양식 음식점업,고용,94.56
2024,2,현재,기타 외국식 음식점업,고용,97
2024,2,현재,기관 구내식당업,고용,100.83
2024,2,현재,출장 음식 서비스업,고용,97.29
2024,2,현재,기타 간이 음식점업,고용,95.33
2024,2,현재,제과점업,고용,93.36
2024,2,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",고용,93.4
2024,2,현재,치킨 음식점업,고용,97.04
2024,2,현재,김밥 및 기타 간이 음식점업,고용,95.8
2024,2,현재,간이음식 포장판매 전문점,고용,95.88
2024,2,현재,주점업,고용,95.26
2024,2,현재,일반 유흥주점업,고용,94.35
2024,2,현재,무도 유흥주점업,고용,95.24
2024,2,현재,생맥주 전문점,고용,93.08
2024,2,현재,기타 주점업,고용,95.92
2024,2,현재,비알코올음료점업,고용,96.29
2024,2,현재,커피 전문점,고용,96.07
2024,2,현재,기타 비알코올 음료점업,고용,97.49
2024,1,현재,전체,매출액,79.28
2024,1,현재,전체,식재료,141.93
2024,1,현재,전체,고용,95.39
2024,1,현재,한식 음식점업,매출액,77.5
2024,1,현재,한식 일반음식점업,매출액,77.96
2024,1,현재,한식 면요리 전문점,매출액,80.85
2024,1,현재,한식 육류요리 전문점,매출액,76.28
2024,1,현재,한식 해산물요리 전문점,매출액,74.59
2024,1,현재,외국식 음식점업,매출액,80.18
2024,1,현재,중식 음식점업,매출액,76.45
2024,1,현재,일식 음식점업,매출액,79.42
2024,1,현재,서양식 음식점업,매출액,84.67
2024,1,현재,기타 외국식 음식점업,매출액,87.6
2024,1,현재,기관 구내식당업,매출액,101.52
2024,1,현재,출장 음식 서비스업,매출액,84.6
2024,1,현재,기타 간이 음식점업,매출액,81.56
2024,1,현재,제과점업,매출액,86.41
2024,1,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,82.94
2024,1,현재,치킨 음식점업,매출액,78.19
2024,1,현재,김밥 및 기타 간이 음식점업,매출액,81.75
2024,1,현재,간이음식 포장판매 전문점,매출액,78.57
2024,1,현재,주점업,매출액,72.18
2024,1,현재,일반 유흥주점업,매출액,72.13
2024,1,현재,무도 유흥주점업,매출액,68.69
2024,1,현재,생맥주 전문점,매출액,71.95
2024,1,현재,기타 주점업,매출액,72.28
2024,1,현재,비알코올음료점업,매출액,85.62
2024,1,현재,커피 전문점,매출액,87.72
2024,1,현재,기타 비알코올 음료점업,매출액,74.23
2024,1,현재,한식 음식점업,식재료,145.17
2024,1,현재,한식 일반음식점업,식재료,145.58
2024,1,현재,한식 면요리 전문점,식재료,143.54
2024,1,현재,한식 육류요리 전문점,식재료,144.75
2024,1,현재,한식 해산물요리 전문점,식재료,144.61
2024,1,현재,외국식 음식점업,식재료,142.19
2024,1,현재,중식 음식점업,식재료,143.9
2024,1,현재,일식 음식점업,식재료,143.31
2024,1,현재,서양식 음식점업,식재료,138.97
2024,1,현재,기타 외국식 음식점업,식재료,139.98
2024,1,현재,기관 구내식당업,식재료,139.64
2024,1,현재,출장 음식 서비스업,식재료,142.51
2024,1,현재,기타 간이 음식점업,식재료,140.34
2024,1,현재,제과점업,식재료,139.1
2024,1,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,137.97
2024,1,현재,치킨 음식점업,식재료,139.99
2024,1,현재,김밥 및 기타 간이 음식점업,식재료,143.36
2024,1,현재,간이음식 포장판매 전문점,식재료,136.5
2024,1,현재,주점업,식재료,143.88
2024,1,현재,일반 유흥주점업,식재료,141.05
2024,1,현재,무도 유흥주점업,식재료,142.27
2024,1,현재,생맥주 전문점,식재료,144.37
2024,1,현재,기타 주점업,식재료,144.92
2024,1,현재,비알코올음료점업,식재료,132.67
2024,1,현재,커피 전문점,식재료,131.65
2024,1,현재,기타 비알코올 음료점업,식재료,138.2
2024,1,현재,한식 음식점업,고용,94.9
2024,1,현재,한식 일반음식점업,고용,95.44
2024,1,현재,한식 면요리 전문점,고용,96.13
2024,1,현재,한식 육류요리 전문점,고용,93.12
2024,1,현재,한식 해산물요리 전문점,고용,94.46
2024,1,현재,외국식 음식점업,고용,94.26
2024,1,현재,중식 음식점업,고용,95.8
2024,1,현재,일식 음식점업,고용,92.53
2024,1,현재,서양식 음식점업,고용,92.81
2024,1,현재,기타 외국식 음식점업,고용,96.18
2024,1,현재,기관 구내식당업,고용,100.69
2024,1,현재,출장 음식 서비스업,고용,97.52
2024,1,현재,기타 간이 음식점업,고용,96.8
2024,1,현재,제과점업,고용,95.43
2024,1,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",고용,94.98
2024,1,현재,치킨 음식점업,고용,97.56
2024,1,현재,김밥 및 기타 간이 음식점업,고용,98.12
2024,1,현재,간이음식 포장판매 전문점,고용,95.45
2024,1,현재,주점업,고용,94.96
2024,1,현재,일반 유흥주점업,고용,94.25
2024,1,현재,무도 유흥주점업,고용,94.4
2024,1,현재,생맥주 전문점,고용,93.9
2024,1,현재,기타 주점업,고용,95.39
2024,1,현재,비알코올음료점업,고용,95.46
2024,1,현재,커피 전문점,고용,95.27
2024,1,현재,기타 비알코올 음료점업,고용,96.51
2024,4,전망,전체,매출액,83.65
2024,4,전망,전체,식재료,127.32
2024,4,전망,전체,고용,97.88
2024,4,전망,한식 음식점업,매출액,81.65
2024,4,전망,한식 일반음식점업,매출액,82.99
2024,4,전망,한식 면요리 전문점,매출액,82.22
2024,4,전망,한식 육류요리 전문점,매출액,77.18
2024,4,전망,한식 해산물요리 전문점,매출액,82.61
2024,4,전망,외국식 음식점업,매출액,85.5
2024,4,전망,중식 음식점업,매출액,81.63
2024,4,전망,일식 음식점업,매출액,87.99
2024,4,전망,서양식 음식점업,매출액,88.06
2024,4,전망,기타 외국식 음식점업,매출액,89.46
2024,4,전망,기관 구내식당업,매출액,95.49
2024,4,전망,출장 음식 서비스업,매출액,90.54
2024,4,전망,기타 간이 음식점업,매출액,85.17
2024,4,전망,제과점업,매출액,87.11
2024,4,전망,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,88.25
2024,4,전망,치킨 음식점업,매출액,83.07
2024,4,전망,김밥 및 기타 간이 음식점업,매출액,85.33
2024,4,전망,간이음식 포장판매 전문점,매출액,80.38
2024,4,전망,주점업,매출액,79.83
2024,4,전망,일반 유흥주점업,매출액,83.09
2024,4,전망,무도 유흥주점업,매출액,76.37
2024,4,전망,생맥주 전문점,매출액,76.59
2024,4,전망,기타 주점업,매출액,79.12
2024,4,전망,비알코올음료점업,매출액,88.86
2024,4,전망,커피 전문점,매출액,89.65
2024,4,전망,기타 비알코올 음료점업,매출액,84.54
2024,4,전망,한식 음식점업,식재료,130.05
2024,4,전망,한식 일반음식점업,식재료,130.29
2024,4,전망,한식 면요리 전문점,식재료,131.53
2024,4,전망,한식 육류요리 전문점,식재료,128.9
2024,4,전망,한식 해산물요리 전문점,식재료,130.03
2024,4,전망,외국식 음식점업,식재료,128.23
2024,4,전망,중식 음식점업,식재료,130.57
2024,4,전망,일식 음식점업,식재료,127.73
2024,4,전망,서양식 음식점업,식재료,125.21
2024,4,전망,기타 외국식 음식점업,식재료,127.11
2024,4,전망,기관 구내식당업,식재료,127.61
